pdb_id	PDBbind_v18_subset	PLANet_v18	PDBbind_v18_subset_union_PLANet_v18
6f92	0.44680851063829785	0.45652173913043476	0.45652173913043476
6eiq	0.42391304347826086	0.4155844155844156	0.42391304347826086
6hvi	0.26582278481012656	0.32926829268292684	0.32926829268292684
5w8j	0.2898550724637681	0.36923076923076925	0.36923076923076925
6eeo	0.4576271186440678	0.5517241379310345	0.5517241379310345
6ekd	0.4057971014492754	0.4782608695652174	0.4782608695652174
6hqy	0.35294117647058826	0.4246575342465753	0.4246575342465753
5ye9	0.3283582089552239	0.4393939393939394	0.4393939393939394
5j8u	0.39215686274509803	0.39215686274509803	0.39215686274509803
5yve	0.375	0.375	0.375
