assay_chembl_id	assay_type
CHEMBL4153120	B
CHEMBL4153121	B
CHEMBL4182262	B
CHEMBL4182259	B
CHEMBL4182256	B
CHEMBL4219277	B
CHEMBL4219276	B
CHEMBL4310088	B
CHEMBL4312045	B
CHEMBL4344652	B
CHEMBL4344651	B
CHEMBL4405931	B
CHEMBL4405932	B
CHEMBL2187905	B
CHEMBL4626982	B
CHEMBL4626978	B
CHEMBL4033153	B
CHEMBL4033190	B
CHEMBL4144031	B
CHEMBL4144032	B
CHEMBL2156110	B
CHEMBL2156126	B
CHEMBL2156115	B
CHEMBL2156125	B
CHEMBL2156113	B
CHEMBL2156114	B
CHEMBL2433593	B
CHEMBL3382827	B
CHEMBL3382844	B
CHEMBL3383409	B
CHEMBL2182554	B
CHEMBL3773027	B
CHEMBL3773026	B
CHEMBL3772867	B
CHEMBL3772866	B
CHEMBL4043460	B
CHEMBL4043462	B
CHEMBL4310089	B
CHEMBL3224050	B
CHEMBL3772276	B
CHEMBL3772274	B
CHEMBL3772275	B
CHEMBL3772273	B
CHEMBL3772272	B
CHEMBL3772116	B
CHEMBL4182272	B
CHEMBL2411909	B
CHEMBL3412292	B
CHEMBL4356412	B
CHEMBL929613	B
CHEMBL4321131	B
CHEMBL3384272	B
CHEMBL3705759	B
CHEMBL3705757	B
CHEMBL3705758	B
CHEMBL4186850	B
CHEMBL3130538	B
CHEMBL3130541	B
CHEMBL4186851	B
CHEMBL3614558	B
CHEMBL4149601	B
CHEMBL3782255	B
CHEMBL4186852	B
CHEMBL4366886	B
CHEMBL4189777	B
CHEMBL4149708	B
CHEMBL4189781	B
CHEMBL4346451	B
CHEMBL4366887	B
CHEMBL4346447	B
CHEMBL4366888	B
CHEMBL3792099	B
CHEMBL3789280	B
CHEMBL1670077	B
CHEMBL1670078	B
CHEMBL665874	B
CHEMBL664137	B
CHEMBL665867	B
CHEMBL665863	B
CHEMBL665864	B
CHEMBL895873	B
CHEMBL1681027	B
CHEMBL1677364	B
CHEMBL1677365	B
CHEMBL1821395	B
CHEMBL1821390	B
CHEMBL3130226	B
CHEMBL3227825	B
CHEMBL3227826	B
CHEMBL3829093	B
CHEMBL4478710	B
CHEMBL4478712	B
CHEMBL4478711	B
CHEMBL4478713	B
CHEMBL4478714	B
CHEMBL4478715	B
CHEMBL665869	B
CHEMBL3135186	B
CHEMBL3796417	B
CHEMBL2327511	B
CHEMBL3227579	B
CHEMBL3375302	B
CHEMBL3369176	B
CHEMBL3369175	B
CHEMBL4380044	B
CHEMBL4380043	B
CHEMBL4380045	B
CHEMBL3097489	B
CHEMBL3097490	B
CHEMBL3097487	B
CHEMBL3370844	B
CHEMBL3369179	B
CHEMBL3369177	B
CHEMBL3106087	B
CHEMBL3369183	B
CHEMBL3385304	B
CHEMBL3385303	B
CHEMBL3385309	B
CHEMBL4144984	B
CHEMBL4144986	B
CHEMBL3106083	B
CHEMBL3868203	B
CHEMBL4151884	B
CHEMBL4151885	B
CHEMBL4151887	B
CHEMBL3110541	B
CHEMBL3110543	B
CHEMBL3607383	B
CHEMBL3607381	B
CHEMBL3610010	B
CHEMBL3227572	B
CHEMBL4338899	B
CHEMBL4338900	B
CHEMBL4349912	B
CHEMBL4349913	B
