PLANet_hold_out_2019_cpnd_name	PLANet_hold_out_2019_cpnd_affi	PLANet_hold_out_2019_cpnd_smiles	PLANet_v18_cpnd_name	PLANet_v18_cpnd_affi	PLANet_v18_cpnd_smiles	similarity
CHEMBL3650_5vnd_CHEMBL3963148	5.494850021680094	C=CC(=O)Nc1cc(OCCN(C)C)ccc1Nc1cc(N(C)C(=O)Nc2c(Cl)c(OC)cc(OC)c2Cl)ncn1	CHEMBL3973_4r6v_CHEMBL3963148	9.0	C=CC(=O)Nc1cc(OCCN(C)C)ccc1Nc1cc(N(C)C(=O)Nc2c(Cl)c(OC)cc(OC)c2Cl)ncn1	1.0
CHEMBL3650_5vnd_CHEMBL3967008	5.454692883534176	C=CC(=O)Nc1cc(OCCO)ccc1Nc1cc(N(C)C(=O)Nc2c(Cl)c(OC)cc(OC)c2Cl)ncn1	CHEMBL3973_4r6v_CHEMBL3967008	9.0	C=CC(=O)Nc1cc(OCCO)ccc1Nc1cc(N(C)C(=O)Nc2c(Cl)c(OC)cc(OC)c2Cl)ncn1	1.0
CHEMBL3650_5vnd_CHEMBL3980461	5.991399828238082	C=CC(=O)Nc1ccccc1Nc1cc(N(CCCN2CCN(C)CC2)C(=O)Nc2c(Cl)c(OC)cc(OC)c2Cl)ncn1	CHEMBL3973_4r6v_CHEMBL3980461	9.0	C=CC(=O)Nc1ccccc1Nc1cc(N(CCCN2CCN(C)CC2)C(=O)Nc2c(Cl)c(OC)cc(OC)c2Cl)ncn1	1.0
CHEMBL3650_5vnd_CHEMBL3981394	5.924453038607469	C=CC(=O)Nc1ccccc1Nc1cc(N(CCCN(C)C)C(=O)Nc2c(Cl)c(OC)cc(OC)c2Cl)ncn1	CHEMBL3973_4r6v_CHEMBL3981394	9.0	C=CC(=O)Nc1ccccc1Nc1cc(N(CCCN(C)C)C(=O)Nc2c(Cl)c(OC)cc(OC)c2Cl)ncn1	1.0
CHEMBL3650_5vnd_CHEMBL3982659	5.188760227246711	C=CC(=O)Nc1c(C)cccc1Nc1cc(N(C)C(=O)Nc2c(Cl)c(OC)cc(OC)c2Cl)ncn1	CHEMBL3973_4r6v_CHEMBL3982659	7.0506099933550885	C=CC(=O)Nc1c(C)cccc1Nc1cc(N(C)C(=O)Nc2c(Cl)c(OC)cc(OC)c2Cl)ncn1	1.0
CHEMBL3650_5vnd_CHEMBL4092990	9.0	C=CC(=O)Nc1ccc(CN(C(=O)Nc2c(Cl)c(OC)cc(OC)c2Cl)c2cc(Nc3ccc(N4CCN(C)CC4)cc3)ncn2)cc1	CHEMBL3973_4r6v_CHEMBL4092990	7.657577319177793	C=CC(=O)Nc1ccc(CN(C(=O)Nc2c(Cl)c(OC)cc(OC)c2Cl)c2cc(Nc3ccc(N4CCN(C)CC4)cc3)ncn2)cc1	1.0
CHEMBL3763008_6boy_CHEMBL4449512	6.387806277669294	O=C1CCC(N2Cc3c(CCCCCNC(=O)[C@@H]4NC5(CCCCC5)[C@@]5(C(=O)Nc6cc(Cl)ccc65)[C@H]4c4cccc(Cl)c4F)cccc3C2=O)C(=O)N1	CHEMBL5023_5trf_CHEMBL4449512	7.170696227168975	O=C1CCC(N2Cc3c(CCCCCNC(=O)[C@@H]4NC5(CCCCC5)[C@@]5(C(=O)Nc6cc(Cl)ccc65)[C@H]4c4cccc(Cl)c4F)cccc3C2=O)C(=O)N1	1.0
CHEMBL3778_6f3d_CHEMBL4064608	9.154901959985743	c1nc(N[C@H]2CC[C@H](N3CCOCC3)CC2)c2c(C3CCOCC3)c[nH]c2n1	CHEMBL3778_5k76_CHEMBL4094760	5.876381725246617	c1nc(N[C@H]2CC[C@@H](N3CCOCC3)CC2)c2c(C3CCOCC3)c[nH]c2n1	1.0
CHEMBL3885801_6f92_CHEMBL1213397	3.576831443935097	OC[C@@H]1[C@@H](O)[C@H](O)[C@H](O)c2nccn21	CHEMBL4296293_2vot_CHEMBL1213397	3.901747167532156	OC[C@@H]1[C@@H](O)[C@H](O)[C@H](O)c2nccn21	1.0
CHEMBL3973_5nwz_CHEMBL3348846	6.88483941554046	COc1cc(CCc2cc(NC(=O)c3ccc(N4C[C@H](C)N[C@H](C)C4)cc3)n[nH]2)cc(OC)c1	CHEMBL3650_4v05_CHEMBL3348846	8.958607314841776	COc1cc(CCc2cc(NC(=O)c3ccc(N4C[C@H](C)N[C@H](C)C4)cc3)n[nH]2)cc(OC)c1	1.0
CHEMBL4105829_6f6i_CHEMBL490	3.1870866433571443	Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1	CHEMBL3711550_5ukm_CHEMBL1708	5.886056647693162	Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1	1.0
